College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[SUNY Empire State College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Empire State College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[SUNY Maritime College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Maritime College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[SUNY Morrisville](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Morrisville,10-May-21,Public,NY,✓,--,✓,--,✓,D
[SUNY Oneonta](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Oneonta,10-May-21,Public,NY,✓,--,✓,--,✓,D
[SUNY Polytechnic Institute](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Polytechnic Institute,10-May-21,Public,NY,✓,--,✓,--,✓,D
[SUNY Westchester Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@SUNY Westchester Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Susquehanna University](https://www.susqu.edu/about-susquehanna/newsroom/susquehanna-announces-vaccine-requirement-for-fall-2021)@@Susquehanna University,21-Jun-21,Private,PA,--,--,✓,--,--,D
[Swarthmore College](https://www.swarthmore.edu/covid-19-information/requiring-covid-19-vaccinations-faculty-and-staff-members)@@Swarthmore College,30-Apr-21,Private,PA,✓,--,✓,--,--,D
[Sweet Briar College](https://sbc.edu/covid-19-information/2021/06/07/covid-19-vaccine-requirements-for-students-and-employees/)@@Sweet Briar College,7-Jun-21,Private,VA,✓,--,✓,--,--,D
[Syracuse University](https://news.syr.edu/blog/2021/04/08/covid-19-vaccination/)@@Syracuse University,8-Apr-21,Private,NY,✓,--,✓,--,✓,D
[Tacoma Community College](https://www.tacomacc.edu/about/newsroom/_summer2021_spring2022/vaccinations_required)@@Tacoma Community College,23-Jul-21,Public,WA,✓,--,✓,--,--,D
[Taylor Business Institute](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Taylor Business Institute,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Telshe Yeshiva at Chicago](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Telshe Yeshiva at Chicago,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Temple University](https://www.temple.edu/coronavirus/vaccines)@@Temple University,--,Public,PA,✓,--,✓,--,--,D
[Thaddeus Stevens College of Technology](https://stevenscollege.edu/covid-updates/)@@Thaddeus Stevens College of Technology,--,Public,PA,--,--,✓,--,--,D
[The College of New Jersey](https://president.tcnj.edu/2021/05/07/back-together-again/)@@The College of New Jersey,7-May-21,Public,NJ,✓,--,✓,--,--,D
[The College of Saint Scholastica](https://www.css.edu/administration/safety-security/saintsriseup-safe-return/)@@The College of Saint Scholastica,--,Private,MN,--,--,✓,--,--,D
[The College of Wooster](https://wooster.edu/info/guide/?fbclid=IwAR1lTw3q5s9wrmlJdK1GRh2oUUFUS6GYJgxR_EhmcdqmiCcDMYfb8x3NVQE)@@The College of Wooster,--,Private,OH,--,--,✓,--,--,R
[The Juilliard School](https://www.juilliard.edu/news/149561/may-7-2021-important-covid-updates)@@The Juilliard School,10-May-21,Private,NY,--,--,✓,--,--,D
[The New England Conservatory of Music](https://necmusic.edu/covid-vaccination-faqs)@@The New England Conservatory of Music,--,Private,MA,--,--,✓,--,--,D
[The New School](https://blogs.newschool.edu/community-messages/2021/04/26/student-vaccination-requirement-for-fall-2021/)@@The New School,26-Apr-21,Private,NY,✓,--,✓,--,--,D
[The University of the Arts](https://www.uarts.edu/about/fall21/university-arts-covid-19-vaccine-policy-faq)@@The University of the Arts,--,Private,PA,✓,--,✓,--,--,D
[The University of the South](https://new.sewanee.edu/2019-novel-coronavirus-covid-19/vaccination-requirement-aug-26/)@@The University of the South,26-Aug-21,Private,TN,✓,--,✓,--,--,R
[Thomas College](https://www.thomas.edu/2021/08/11/important-update-college-covid-vaccination-policy/)@@Thomas College,11-Aug-21,Private,ME,✓,--,✓,--,--,D
[Thomas Jefferson University](https://www.jefferson.edu/coronavirus.html#updates)@@Thomas Jefferson University,29-Apr-21,Private,PA,--,--,✓,--,--,D
[Three Rivers Community College](https://www.ct.edu/covid19#faqs)@@Three Rivers Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Tompkins Cortland Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Tompkins Cortland Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Touro College at Bay Shore](https://www.touro.edu/updates/coronavirus/)@@Touro College at Bay Shore,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College at Kew Gardens Hills](https://www.touro.edu/updates/coronavirus/)@@Touro College at Kew Gardens Hills,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College Law Center](https://www.touro.edu/updates/coronavirus/)@@Touro College Law Center,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College main campus](https://www.touro.edu/updates/coronavirus/)@@Touro College main campus,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College of Dental Medicine](https://www.touro.edu/updates/coronavirus/)@@Touro College of Dental Medicine,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College of Osteopathic Medicine](https://www.touro.edu/updates/coronavirus/)@@Touro College of Osteopathic Medicine,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College-Flatbush](https://www.touro.edu/updates/coronavirus/)@@Touro College-Flatbush,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Touro College-Harlem](https://www.touro.edu/updates/coronavirus/)@@Touro College-Harlem,4-Aug-21,Private,NY,✓,--,✓,--,--,D
[Towson University](https://www.usmd.edu/newsroom/news/2154)@@Towson University,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[Transylvania University](https://www.transy.edu/1780/2021/08/transylvania-to-require-covid-vaccine-for-students-employees/)@@Transylvania University,25-Aug-21,Private,KY,✓,--,✓,--,--,R
[Trinity Christian College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Trinity Christian College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Trinity College](https://www.trincoll.edu/reopening/plans-for-the-fall/)@@Trinity College,28-Apr-21,Private,CT,--,--,✓,--,--,D
[Trinity College of Nursing and Health Sciences](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Trinity College of Nursing and Health Sciences,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Trinity International University in Illinois](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Trinity International University in Illinois,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Trinity Washington University](https://discover.trinitydc.edu/news/important-covid-19-vaccine-update/)@@Trinity Washington University,20-Apr-21,Private,DC,✓,--,✓,--,--,D
[Triton College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Triton College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Truckee Meadows Community College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Truckee Meadows Community College,20-Aug-21,Public,NV,✓,--,--,--,--,D
[Tufts University](https://coronavirus.tufts.edu/healthy-at-tufts/covid-19-vaccinations-tufts)@@Tufts University,25-Apr-21,Private,MA,✓,--,✓,--,--,D
[Tulane University](https://tulane.edu/covid-19/vaccine)@@Tulane University,13-May-21,Private,LA,✓,--,✓,--,--,R
[Tunxis Community College](https://www.ct.edu/covid19#faqs)@@Tunxis Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Tuskegee University](https://myemail.constantcontact.com/OSHA-Emergency-Temporary-Standard-regarding-Vaccinations-for-Employees.html)@@Tuskegee University,22-Sep-21,Private,AL,--,--,✓,--,--,R
[Ulster County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Ulster County Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Union College](https://www.union.edu/news/where-you-are/202105/vaccination-requirement-students-effective-july-1)@@Union College,7-May-21,Private,NY,✓,--,✓,--,✓,D
[Union Presbyterian Seminary](https://www.upsem.edu/newsroom/union-seminary-to-mandate-covid-19-vaccine-for-students-employees-visitors/)@@Union Presbyterian Seminary,16-Apr-21,Private,VA,✓,--,✓,--,--,D
[Union Presbyterian Seminary at Charlotte](https://www.upsem.edu/newsroom/union-seminary-to-mandate-covid-19-vaccine-for-students-employees-visitors/)@@Union Presbyterian Seminary at Charlotte,16-Apr-21,Private,NC,✓,--,✓,--,--,R
[Unity College](https://unity.edu/press-releases/unity-college-announces-pandemic-lockdown-lift/)@@Unity College,--,Private,ME,--,--,✓,--,--,D
[University at Buffalo](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@University at Buffalo,10-May-21,Public,NY,✓,--,✓,--,✓,D
[University of Akron](https://www.uakron.edu/return-to-campus/)@@University of Akron,--,Public,OH,✓,--,✓,--,--,R
[University of Alaska at Anchorage](https://www.uaa.alaska.edu/residence-life/apply/immunizations.cshtml)@@University of Alaska at Anchorage,--,Public,AK,--,--,--,✓,--,R
[University of Arizona](https://www.azcentral.com/story/news/local/arizona-education/2021/10/15/asu-ua-nau-arizona-universities-mandate-covid-19-vaccinations-all-employees/8469609002/)@@University of Arizona,15-Oct-21,Public,AZ,✓,--,--,--,--,D
[University of Baltimore](https://www.usmd.edu/newsroom/news/2154)@@University of Baltimore,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Bridgeport](https://www.bridgeport.edu/covid-19/faq)@@University of Bridgeport,2-Jul-21,Private,CT,✓,--,✓,--,--,D
[University of California at Berkeley](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Berkeley,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Davis](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Davis,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Irvine](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Irvine,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Los Angeles](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Los Angeles,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Merced](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Merced,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Riverside](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Riverside,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at San Diego](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Diego,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at San Francisco](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at San Francisco,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Santa Barbara](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Barbara,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of California at Santa Cruz](https://www.universityofcalifornia.edu/press-room/uc-encourages-covid-19-vaccinations-university-communities-while-reviewing-policy)@@University of California at Santa Cruz,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[University of Charleston](https://www.ucwv.edu/coronavirus-information/)@@University of Charleston,18-Jun-21,Private,WV,--,--,✓,--,--,R
[University of Chicago](https://news.uchicago.edu/story/university-announces-covid-19-vaccine-requirement-all-students)@@University of Chicago,18-May-21,Private,IL,✓,--,✓,--,✓,D
[University of Cincinnati](https://www.cincinnati.com/story/news/2021/08/31/university-cincinnati-announces-covid-19-vaccine-mandate/5671338001/)@@University of Cincinnati,31-Aug-21,Public,OH,✓,--,✓,--,--,R
[University of Colorado at Boulder](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Boulder,28-Apr-21,Public,CO,✓,--,✓,--,✓,D
[University of Colorado at Colorado Springs](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Colorado Springs,28-Apr-21,Public,CO,✓,--,✓,--,--,D
[University of Colorado at Denver](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado at Denver,28-Apr-21,Public,CO,✓,--,✓,--,--,D
[University of Colorado-Anschutz Medical Campus](https://president.cu.edu/statements/cu-requires-vaccine-fall-semester-2021)@@University of Colorado-Anschutz Medical Campus,28-Apr-21,Public,CO,✓,--,✓,--,--,D
[University of Connecticut](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut,4-Jun-21,Public,CT,✓,--,✓,--,--,D
[University of Connecticut-Avery Point](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Avery Point,4-Jun-21,Public,CT,✓,--,✓,--,--,D
[University of Connecticut-Hartford Campus](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Hartford Campus,4-Jun-21,Public,CT,✓,--,✓,--,--,D
[University of Connecticut-Stamford](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Stamford,4-Jun-21,Public,CT,✓,--,✓,--,--,D
[University of Connecticut-Waterbury Campus](https://policy.uconn.edu/2021/06/04/covid-19-immunization-record-requirement-for-students/#)@@University of Connecticut-Waterbury Campus,4-Jun-21,Public,CT,✓,--,✓,--,--,D
[University of Delaware](https://www.udel.edu/udaily/2021/may/covid-19-coronavirus-vaccination-requirement-students/)@@University of Delaware,5-May-21,Public,DE,✓,--,✓,--,--,D
[University of Denver](https://www.du.edu/coronavirus/health-wellness/covid/faqs)@@University of Denver,20-Apr-21,Private,CO,✓,--,✓,--,--,D
[University of Detroit Mercy](https://udmercy.edu/about/news/articles/2021/06-10-vaccine.php)@@University of Detroit Mercy,10-Jun-21,Private,MI,✓,--,✓,--,--,D
[University of Guam](https://www.uog.edu/covid-19/)@@University of Guam,--,Public,GU,✓,--,✓,--,--,#N/A
[University of Hartford](https://www.hartford.edu/healthy-hawks/vaccine.aspx)@@University of Hartford,--,Private,CT,✓,--,✓,--,--,D
[University of Hawaii at Hilo](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii at Hilo,17-May-21,Public,HI,✓,--,✓,--,--,D
[University of Hawaii at Manoa](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii at Manoa,17-May-21,Public,HI,✓,--,✓,--,--,D
[University of Hawaii Maui College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii Maui College,17-May-21,Public,HI,✓,--,✓,--,--,D
[University of Hawaii-West Oahu](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@University of Hawaii-West Oahu,17-May-21,Public,HI,✓,--,✓,--,--,D
[University of Illinois at Chicago](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Chicago,21-Jun-21,Public,IL,✓,--,✓,--,--,D
[University of Illinois at Springfield](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Springfield,21-Jun-21,Public,IL,✓,--,✓,--,--,D
[University of Illinois at Urbana-Champaign](https://massmail.illinois.edu/massmail/1167605264.html)@@University of Illinois at Urbana-Champaign,21-Jun-21,Public,IL,✓,--,✓,--,--,D
[University of Indianapolis](https://uindy.edu/coronavirus/president-announcements#president-080521)@@University of Indianapolis,5-Aug-21,Private,IN,✓,--,✓,--,--,R
[University of La Verne](https://laverne.edu/health/vaccine-information/)@@University of La Verne,--,Private,CA,✓,--,✓,--,--,D
[University of Louisiana at Lafayette](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of Louisiana at Lafayette,23-Aug-21,Public,LA,--,--,✓,--,--,R
[University of Louisiana at Monroe](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of Louisiana at Monroe,23-Aug-21,Public,LA,--,--,✓,--,--,R
[University of Louisville](https://louisville.edu/coronavirus/communications-and-updates)@@University of Louisville,18-Nov-21,Public,KY,--,✓,--,--,--,R
[University of Lynchburg](https://www.lynchburg.edu/about/covid-19/)@@University of Lynchburg,2-Jun-21,Private,VA,✓,--,✓,--,--,D
[University of Maine](https://www.maine.edu/together/community-guidance/students/)@@University of Maine,4-Aug-21,Public,ME,✓,--,✓,--,--,D
[University of Maine at Augusta](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Augusta,4-Aug-21,Public,ME,✓,--,✓,--,--,D
[University of Maine at Farmington](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Farmington,4-Aug-21,Public,ME,✓,--,✓,--,--,D
[University of Maine at Fort Kent](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Fort Kent,4-Aug-21,Public,ME,✓,--,✓,--,--,D
[University of Maine at Machias](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Machias,4-Aug-21,Public,ME,✓,--,✓,--,--,D
[University of Maine at Presque Isles](https://www.maine.edu/together/community-guidance/students/)@@University of Maine at Presque Isles,4-Aug-21,Public,ME,✓,--,✓,--,--,D
[University of Mary Washington](https://www.umw.edu/returntocampus/faq/)@@University of Mary Washington,26-May-21,Public,VA,--,--,✓,--,--,D
[University of Maryland at Baltimore](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at Baltimore,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Maryland at College Park](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland at College Park,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Maryland Center for Environmental Science](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland Center for Environmental Science,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Maryland Global Campus](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland Global Campus,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Maryland-Baltimore County](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland-Baltimore County,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Maryland-Eastern Shore](https://www.usmd.edu/newsroom/news/2154)@@University of Maryland-Eastern Shore,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[University of Massachusetts at Amherst](https://www.umass.edu/coronavirus/news/message-chancellor-about-additional-public-health-measures-fall-2021-semester)@@University of Massachusetts at Amherst,22-Apr-21,Public,MA,✓,--,✓,--,✓,D
[University of Massachusetts at Boston](https://www.umb.edu/news/detail/an_update_on_vaccinations_for_the_umass_boston_community)@@University of Massachusetts at Boston,26-Apr-21,Public,MA,--,--,✓,--,✓,D
[University of Massachusetts at Dartmouth](https://www.umassd.edu/covid/vaccine/)@@University of Massachusetts at Dartmouth,30-Apr-21,Public,MA,✓,--,✓,--,✓,D
[University of Massachusetts at Lowell](https://www.uml.edu/alert/coronavirus/returning/fall2021.aspx)@@University of Massachusetts at Lowell,28-Apr-21,Public,MA,✓,--,✓,--,✓,D
[University of Miami](https://coronavirus.miami.edu/updates-and-messages/index.html)@@University of Miami,1-Jun-21,Private,FL,✓,--,--,--,--,R
[University of Michigan at Ann Arbor](https://www.michigandaily.com/administration/u-m-to-require-vaccinations-against-covid-19-for-all-students-living-in-residence-halls-next-fall/)@@University of Michigan at Ann Arbor,23-Apr-21,Public,MI,✓,--,✓,--,✓,D
[University of Michigan at Dearborn](https://record.umich.edu/articles/u-m-will-require-covid-19-vaccination-on-all-campuses/)@@University of Michigan at Dearborn,30-Jul-21,Public,MI,✓,--,✓,--,✓,D
[University of Michigan at Flint](https://record.umich.edu/articles/u-m-will-require-covid-19-vaccination-on-all-campuses/)@@University of Michigan at Flint,30-Jul-21,Public,MI,✓,--,✓,--,✓,D
[University of Minnesota at Crookston](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Crookston,--,Public,MN,✓,--,✓,--,--,D
[University of Minnesota at Duluth](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Duluth,--,Public,MN,✓,--,✓,--,--,D
[University of Minnesota at Morris](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Morris,--,Public,MN,✓,--,✓,--,--,D
[University of Minnesota at Rochester](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Rochester,--,Public,MN,✓,--,✓,--,--,D
[University of Minnesota at Twin Cities](https://safe-campus.umn.edu/return-campus/get-the-vax)@@University of Minnesota at Twin Cities,--,Public,MN,✓,--,✓,--,--,D
[University of Mississippi Medical Center](https://umc.edu/news/Campus-Memo/2021/08/COVID-19-Vaccination-Now-Condition-Employment-Enrollment.html)@@University of Mississippi Medical Center,20-Aug-21,Public,MS,✓,--,✓,--,--,R
[University of Nebraska Medical Center](https://www.unmc.edu/news.cfm?match=27686)@@University of Nebraska Medical Center,12-Aug-21,Public,NE,✓,--,✓,--,--,R
[University of Nevada at Las Vegas](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@University of Nevada at Las Vegas,20-Aug-21,Public,NV,✓,--,--,--,--,D
[University of Nevada at Reno](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@University of Nevada at Reno,20-Aug-21,Public,NV,✓,--,--,--,--,D
[University of New England](https://www.une.edu/news/2021/university-new-england-require-covid-19-vaccines-fall-2021)@@University of New England,5-May-21,Private,ME,✓,--,✓,--,✓,D
[University of New Hampshire](https://www.unh.edu/president/update-federal-government-covid-19-vaccine-requirement)@@University of New Hampshire,22-Oct-21,Public,NH,✓,--,--,--,--,D
[University of New Haven](http://newhaven.edu/covid19/index.php)@@University of New Haven,16-Jun-21,Private,CT,✓,--,✓,--,--,D
[University of New Mexico at Gallup](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Gallup,2-Aug-21,Public,NM,✓,--,✓,--,✓,D
[University of New Mexico at Los Alamos](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Los Alamos,2-Aug-21,Public,NM,✓,--,✓,--,✓,D
[University of New Mexico at Taos](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Taos,2-Aug-21,Public,NM,✓,--,✓,--,✓,D
[University of New Mexico at Valencia County](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico at Valencia County,2-Aug-21,Public,NM,✓,--,✓,--,✓,D
[University of New Mexico-Main Campus](https://bringbackthepack.unm.edu/vaccine/vaccine-requirement.html)@@University of New Mexico-Main Campus,2-Aug-21,Public,NM,✓,--,✓,--,✓,D
[University of New Orleans](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@University of New Orleans,23-Aug-21,Public,LA,--,--,✓,--,--,R
[University of North Carolina at Chapel Hill](https://carolinatogether.unc.edu/2021/10/25/covid-19-update-federal-vaccine-requirement-for-employees/)@@University of North Carolina at Chapel Hill,25-Oct-21,Public,NC,--,✓,--,--,--,R
[University of Northern Colorado](https://www.unco.edu/fall-2021/covid-19-vaccines.aspx)@@University of Northern Colorado,28-Apr-21,Public,CO,✓,--,✓,--,--,D
[University of Notre Dame](https://here.nd.edu/health-safety/covid-19-vaccination-information/faculty-and-staff-vaccination-requirement/)@@University of Notre Dame,7-Apr-21,Private,IN,✓,--,✓,--,✓,R
[University of Oregon](https://around.uoregon.edu/content/uo-require-covid-19-vaccinations-students-employees)@@University of Oregon,10-May-21,Public,OR,✓,--,✓,--,✓,D
[University of Pennsylvania](https://penntoday.upenn.edu/announcements/update-penns-plans-fall-semester)@@University of Pennsylvania,22-Apr-21,Private,PA,✓,--,✓,--,--,D
[University of Phoenix in Illinois](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@University of Phoenix in Illinois,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[University of Phoenix in Washington](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@University of Phoenix in Washington,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[University of Pittsburgh-Bradford](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Bradford,1-Nov-21,Public,PA,✓,--,✓,--,--,D
[University of Pittsburgh-Greensburg](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Greensburg,1-Nov-21,Public,PA,✓,--,✓,--,--,D
[University of Pittsburgh-Johnstown](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Johnstown,1-Nov-21,Public,PA,✓,--,✓,--,--,D
[University of Pittsburgh-Pittsburgh Campus](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Pittsburgh Campus,1-Nov-21,Public,PA,✓,--,✓,--,--,D
[University of Pittsburgh-Titusville](https://www.post-gazette.com/news/education/2021/11/01/University-of-Pittsburgh-vaccine-mandate-COVID-19-Penn-State-State-System-students/stories/202111010078?utm_medium=Social&utm_source=Twitter#Echobox=1635791975-1)@@University of Pittsburgh-Titusville,1-Nov-21,Public,PA,✓,--,✓,--,--,D
[University of Portland](https://www.up.edu/news/2021/04/covid-19-vaccination-requirement-fall-2021-term.html)@@University of Portland,27-Apr-21,Private,OR,✓,--,✓,--,✓,D
[University of Puget Sound](https://www.pugetsound.edu/about/office-of-the-president/messages-to-campus/student-vaccination-requirement-effective-fall-2021-5-7-21/)@@University of Puget Sound,7-May-21,Private,WA,✓,--,✓,--,✓,D
[University of Redlands](https://www.redlands.edu/globalassets/ucomm/01-covid-19/employees/docs/ur-covid-vaccination-policy-2021-employees-final.pdf)@@University of Redlands,15-Jun-21,Private,CA,✓,--,✓,--,--,D
[University of Rhode Island](https://web.uri.edu/healthservices/covid-19-vaccine-information/)@@University of Rhode Island,18-May-21,Public,RI,✓,--,✓,--,✓,D
[University of Richmond](https://www.richmond.edu/coronavirus/messages/index.html#june-10-2021-fall-opening-plans-for-students)@@University of Richmond,10-Jun-21,Private,VA,✓,--,✓,--,--,D
[University of Rochester](https://www.rochester.edu/coronavirus-update/university-to-require-covid-19-vaccination-for-students-for-upcoming-academic-year/)@@University of Rochester,22-Apr-21,Private,NY,✓,--,✓,--,✓,D
[University of Saint Joseph](https://www.instagram.com/p/CTAo_fHFD3D/)@@University of Saint Joseph,25-Aug-21,Private,CT,✓,--,✓,--,--,D
