College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Boston College](https://www.bcheights.com/2021/04/23/bc-to-require-vaccinations-for-2021-2022-academic-year/)@@Boston College,23-Apr-21,Private,MA,✓,--,✓,--,✓,D
[Boston University](https://www.bu.edu/president/vaccination-and-the-fall-semester-at-boston-university/)@@Boston University,9-Apr-21,Private,MA,✓,--,✓,--,✓,D
[Bowdoin College](https://www.bowdoin.edu/president/writings-and-addresses/messages-to-the-community/2021/apr-16.html)@@Bowdoin College,16-Apr-21,Private,ME,✓,--,✓,--,✓,D
[Bowie State University](https://www.usmd.edu/newsroom/news/2154)@@Bowie State University,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[Bowling Green State University](https://www.bgsu.edu/content/dam/BGSU/covid/cho/covid-vaccination-sep2.html)@@Bowling Green State University,2-Sep-21,Public,OH,✓,--,✓,--,--,R
[Bradley University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Bradley University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Brandeis University](https://www.brandeis.edu/covid-19/policies/campus-updates/2021-04-26-vaccine-requirement.html)@@Brandeis University,26-Apr-21,Private,MA,✓,--,✓,--,--,D
[Brevard College](https://brevard.edu/important-policy-announcement/)@@Brevard College,28-Apr-21,Private,NC,✓,--,✓,--,--,R
[Bridgewater College](https://www.bridgewater.edu/covid-19-and-cares-act/)@@Bridgewater College,7-May-21,Private,VA,✓,--,✓,--,--,D
[Bridgewater State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Bridgewater State University,26-Apr-21,Public,MA,--,--,✓,--,--,D
[Brigham Young University-Hawaii](https://news.byuh.edu/announcements/covid-19-immunization-requirement-for-students-beginning-fall-2021)@@Brigham Young University-Hawaii,16-Jun-21,Private,HI,--,--,✓,--,--,D
[Bristol Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Bristol Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Brown University](https://www.providencejournal.com/story/news/2021/04/06/brown-begin-requiring-vaccines-students-come-fall/7107713002/)@@Brown University,6-Apr-21,Private,RI,✓,--,✓,--,✓,D
[Bryant University](https://news.bryant.edu/student-covid-19-vaccination-and-masking-policy-fall-semester-2021)@@Bryant University,30-Jun-21,Private,RI,✓,--,✓,--,✓,D
[Bryn Athyn College of the New Church](https://brynathyn.edu/news/addition-to-immunization-requirements-for-bac-community.html)@@Bryn Athyn College of the New Church,23-Jul-21,Private,PA,✓,--,✓,--,--,D
[Bryn Mawr College](https://www.brynmawr.edu/news/message-bico-community-covid-vaccinations-be-required-students-fall-2021)@@Bryn Mawr College,28-Apr-21,Private,PA,--,--,✓,--,--,D
[Bucknell University](https://www.bucknell.edu/life-bucknell/fall-reopening/students-families/messages-event-recordings)@@Bucknell University,13-May-21,Private,PA,--,--,✓,--,✓,D
[Bunker Hill Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Bunker Hill Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Butler University](https://view.engagement.butler.edu/?qs=4a2563dafb53258736a275287b48ab5605e2f9a57dc24908ca153b7b562e1d5d03414be972f9e88dbbcad5ddff2bb4119ca0cf56d4dbfce2c0306cd68795925f627d4964f88ef9b60f277bc0fbcf8fcfd8782d2bcef8a8bc)@@Butler University,21-Jun-21,Private,IN,✓,--,✓,--,--,R
[Cabrini University](https://www.cabrini.edu/about/media-hub/news/2021/vaccine-requirement)@@Cabrini University,25-Jun-21,Private,PA,✓,--,✓,--,--,D
[Caldwell University](https://www.caldwell.edu/coronavirus-update/student-vaccine-faq/)@@Caldwell University,--,Private,NJ,--,--,✓,--,--,D
[California College of the Arts](https://portal.cca.edu/thriving/health-wellness/novel-coronavirus-covid19/vaccination-requirements-fall-2021/)@@California College of the Arts,5-May-21,Private,CA,✓,--,✓,--,✓,D
[California Instititute of the Arts](https://calarts.edu/calarts-returns-2021/calarts-returns#vaccination)@@California Instititute of the Arts,--,Private,CA,✓,--,✓,--,--,D
[California Institute of Integral Studies](https://www.ciis.edu/covid-19/vaccination-requirements-for-fall-2021)@@California Institute of Integral Studies,--,Private,CA,✓,--,✓,--,--,D
