UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON18,DRUG18,LIQUOR18,WEAPON19,DRUG19,LIQUOR19,WEAPON20,DRUG20,LIQUOR20,FILTER18,FILTER19,FILTER20
221768007,The University of Tennessee-Martin,Parsons Center,535 Tennessee Ave South,Parsons,TN,38263,1,"Public, 4-year or above",2712,4405,7117,0,0,0,0,0,0,0,0,0,1,1,1
221768008,The University of Tennessee-Martin,Ripley Center,315 S. Washington Street,Ripley,TN,38063,1,"Public, 4-year or above",2712,4405,7117,0,0,0,0,0,0,0,0,0,1,1,1
221768009,The University of Tennessee-Martin,Selmer Center,1269 Tennessee Ave,Selmer,TN,38375,1,"Public, 4-year or above",2712,4405,7117,0,0,0,0,0,0,0,0,0,1,1,1
221768010,The University of Tennessee-Martin,Somerville Center,214 Lakeview Road,Somerville,TN,38068,1,"Public, 4-year or above",2712,4405,7117,0,0,0,0,0,0,0,0,0,1,1,1
221829001,Tennessee School of Beauty of Knoxville Inc,Main Campus,4704 WESTERN AVE,KNOXVILLE,TN,37921,9,"Private for-profit, less-than 2-year",9,281,290,0,0,0,0,0,0,0,0,0,1,1,1
221838001,Tennessee State University,Main Campus,3500 JOHN MERRITT BLVD.,NASHVILLE,TN,372091561,1,"Public, 4-year or above",2629,4986,7615,1,36,0,3,22,1,4,15,0,1,1,1
221847001,Tennessee Technological University,Tennessee Technological University,1 William L. Jones Drive,COOKEVILLE,TN,385050001,1,"Public, 4-year or above",5324,4853,10177,0,9,5,0,2,7,0,1,3,1,1,1
221847004,Tennessee Technological University,Appalachian Center for Crafts,1560 Craft Center Drive,Smithville,TN,37166,1,"Public, 4-year or above",5324,4853,10177,0,0,0,0,0,0,0,0,0,1,1,1
221847008,Tennessee Technological University,Shipley Farm / Ag Pavilion,2390 Gainesboro Grade,Cookeville,TN,38501,1,"Public, 4-year or above",5324,4853,10177,0,0,0,0,0,0,0,0,0,1,1,1
221892001,Trevecca Nazarene University,Main Campus,333 MURFREESBORO RD,NASHVILLE,TN,37210,2,"Private nonprofit, 4-year or above",1357,2611,3968,1,0,0,0,2,0,0,0,0,1,1,1
221908001,Northeast State Community College,Main Campus,2425 HWY 75,BLOUNTVILLE,TN,376170246,4,"Public, 2-year",2361,3036,5397,0,1,0,0,0,0,0,0,0,1,1,1
221908004,Northeast State Community College,Northeast State at Elizabethton,386 Highway 91N,Elizabethton,TN,37643,4,"Public, 2-year",2361,3036,5397,0,0,0,0,0,0,0,0,0,1,1,1
221908005,Northeast State Community College,Northeast State at Gray,120 Dillon Court,Gray,TN,37615,4,"Public, 2-year",2361,3036,5397,0,0,0,0,0,0,0,0,0,1,1,1
221908006,Northeast State Community College,Northeast State at Kingsport,300 West Market Street,Kingsport,TN,37660,4,"Public, 2-year",2361,3036,5397,0,0,0,0,0,0,0,0,0,1,1,1
221908008,Northeast State Community College,Northeast State at Johnson City,101 East Market Street,Johnson City,TN,37601,4,"Public, 2-year",2361,3036,5397,0,0,0,0,1,0,0,0,0,1,1,1
221953001,Tusculum University,Main Campus,60 Shiloh Road,Greeneville,TN,37743,2,"Private nonprofit, 4-year or above",681,983,1664,0,2,2,0,2,2,1,2,1,1,1,1
221971001,Union University,Main Campus,1050 UNION UNIVERSITY DR,JACKSON,TN,383059901,2,"Private nonprofit, 4-year or above",988,2083,3071,0,1,0,0,0,0,0,0,0,1,1,1
221971002,Union University,Hendersonville,205 Indian Lake Blvd. ,Hendersonville,TN,37075,2,"Private nonprofit, 4-year or above",988,2083,3071,,,,,,,0,0,0,0,0,1
221971003,Union University,Germantown,2745 Hacks Cross Road,Germantown,TN,38138,2,"Private nonprofit, 4-year or above",988,2083,3071,,,,,,,0,0,0,0,0,1
221971004,Union University,Midtown,2181 Union Ave,Memphis,TN,38104,2,"Private nonprofit, 4-year or above",988,2083,3071,,,,,,,0,0,0,0,0,1
221999001,Vanderbilt University,Main Campus,2101 WEST END AVENUE,NASHVILLE,TN,37240,2,"Private nonprofit, 4-year or above",6021,7516,13537,0,22,2,4,20,0,2,3,0,1,1,1
222053001,Volunteer State Community College,Gallatin Campus,1480 NASHVILLE PKE,GALLATIN,TN,370663188,4,"Public, 2-year",3217,5615,8832,0,2,0,0,1,0,0,0,0,1,1,1
222053002,Volunteer State Community College,Springfield Campus ,150 Laureate Ave,Springfield,TN,37172,4,"Public, 2-year",3217,5615,8832,0,0,0,0,0,0,0,0,0,1,1,1
222053003,Volunteer State Community College,Livingston Campus,113 Windle Community Road,Livingston,TN,38570,4,"Public, 2-year",3217,5615,8832,0,0,0,0,0,0,0,0,0,1,1,1
222053004,Volunteer State Community College,Cookeville Campus,1000 Neal Street,Cookeville,TN,38501,4,"Public, 2-year",3217,5615,8832,0,0,0,0,0,0,0,0,0,1,1,1
